id,carat,cut,color,clarity,depth,table,price,x,y,z
143,0.31,Ideal,D,VS2,60.4,56.0,942,4.42,4.39,2.66
144,0.33,Premium,I,SI1,62.8,58.0,572,4.43,4.39,2.77
145,0.3,Premium,H,SI1,62.9,56.0,540,4.31,4.28,2.7
146,0.3,Premium,E,VS2,61.8,58.0,658,4.31,4.36,2.68
147,0.78,Very Good,F,SI2,58.3,62.0,2477,6.04,6.11,3.54
148,0.32,Ideal,E,VVS1,61.6,56.0,827,4.37,4.43,2.71
149,0.44,Ideal,I,VS1,61.8,55.0,807,4.89,4.92,3.03
150,1.55,Premium,E,SI1,60.1,58.0,11871,7.55,7.5,4.52
151,0.35,Ideal,D,VS2,60.7,56.0,1063,4.6,4.56,2.78
152,0.42,Very Good,G,VS2,62.1,55.0,854,4.8,4.83,2.99
153,0.52,Ideal,F,VS2,61.5,56.0,1981,5.19,5.21,3.2
154,0.53,Ideal,F,VS1,61.4,57.0,1800,5.18,5.2,3.19
155,0.82,Premium,F,SI2,60.3,57.0,2723,6.07,6.03,3.65
156,0.4,Ideal,E,VS1,61.6,56.0,1125,4.78,4.73,2.93
157,0.32,Ideal,I,VS2,62.0,57.0,576,4.41,4.36,2.72
158,1.02,Very Good,G,SI1,60.8,60.0,4766,6.5,6.55,3.97
159,1.64,Premium,I,SI1,62.4,58.0,8716,7.58,7.52,4.71
160,0.25,Premium,E,VS1,60.7,59.0,435,4.11,4.13,2.5
161,0.31,Ideal,G,IF,61.7,55.0,871,4.37,4.39,2.7
162,0.54,Ideal,J,VVS2,61.6,57.0,1720,5.25,5.23,3.23
163,0.73,Premium,E,VS1,61.2,58.0,3311,5.83,5.77,3.55
164,1.01,Very Good,J,VVS2,63.7,57.0,5067,6.31,6.35,4.03
165,0.25,Ideal,E,VVS2,62.1,57.0,740,4.07,4.04,2.52
166,0.36,Good,H,VS2,63.5,54.0,568,4.55,4.59,2.9
167,1.01,Very Good,F,VS2,61.7,57.0,6159,6.39,6.44,3.96
168,0.32,Premium,D,SI1,60.8,58.0,589,4.41,4.44,2.69
169,0.38,Premium,D,VS2,58.7,61.0,1117,4.77,4.74,2.79
170,0.38,Premium,E,VS1,61.5,58.0,1069,4.69,4.64,2.87
171,1.43,Very Good,H,SI1,61.7,59.0,8654,7.23,7.29,4.48
172,1.5,Ideal,H,SI1,61.6,57.0,7627,7.34,7.24,4.49
173,0.7,Premium,H,SI1,60.3,55.0,2176,5.8,5.75,3.48
174,0.77,Very Good,G,VS2,62.8,59.0,3124,5.81,5.84,3.66
175,0.96,Fair,E,SI2,57.7,67.0,3674,6.49,6.46,3.73
176,0.71,Premium,J,SI1,62.4,61.0,1690,5.68,5.63,3.53
177,1.21,Ideal,F,VVS1,62.0,58.0,12613,6.82,6.86,4.24
178,0.81,Premium,F,SI1,61.2,56.0,2926,6.03,6.0,3.68
179,0.33,Ideal,D,VS2,61.8,56.0,781,4.4,4.44,2.73
180,1.09,Premium,E,SI1,62.7,58.0,5237,6.6,6.55,4.12
181,0.35,Premium,J,VS1,62.4,58.0,949,5.67,5.64,3.53
182,1.02,Very Good,E,VS1,58.9,59.0,7253,6.52,6.65,3.88
183,0.51,Premium,D,SI1,61.9,60.0,1642,5.15,5.12,3.18
184,0.56,Ideal,E,VS1,61.3,55.0,2032,5.32,5.29,3.25
185,0.38,Premium,H,VS2,60.5,59.0,898,4.69,4.66,2.83
186,0.32,Very Good,I,VS2,61.1,57.0,449,4.39,4.42,2.69
187,1.09,Ideal,H,SI1,62.3,57.0,5149,6.58,6.54,4.09
188,0.3,Ideal,F,VVS1,62.1,54.0,814,4.32,4.35,2.69
189,1.04,Ideal,J,SI1,61.1,57.0,3931,6.57,6.52,4.0
190,0.4,Ideal,G,VVS1,60.2,60.0,997,4.78,4.82,2.89
191,1.0,Ideal,F,SI1,62.0,57.0,5292,6.43,6.37,3.97
192,1.01,Good,G,SI2,63.6,58.0,3626,6.31,6.37,4.03
193,0.37,Ideal,E,VS2,62.5,56.0,1041,4.61,4.58,2.87
194,1.11,Premium,G,SI1,60.1,60.0,5281,6.73,6.68,4.03
195,0.71,Ideal,J,VVS2,60.3,61.0,2226,5.76,5.79,3.48
196,1.11,Premium,H,SI1,61.9,58.0,4960,6.63,6.59,4.09
197,1.21,Premium,E,SI1,60.0,60.0,6261,7.01,6.92,4.18
198,0.55,Ideal,F,VS2,61.2,55.0,1698,5.3,5.28,3.24
199,0.4,Good,E,SI1,63.6,57.0,687,4.65,4.69,2.97
200,1.58,Premium,G,VS2,62.6,59.0,13014,7.44,7.47,4.67
201,1.52,Good,J,VS2,63.3,56.0,7370,7.27,7.33,4.62
202,0.74,Ideal,H,VS2,62.2,55.0,3178,5.83,5.81,3.62
203,1.2,Good,G,VS2,63.3,58.0,7603,6.66,6.74,4.24
204,1.71,Premium,I,VS2,62.4,61.0,9384,7.67,7.59,4.76
205,0.81,Ideal,D,VS2,59.5,60.0,4315,6.08,6.15,3.64
206,0.57,Ideal,I,VS2,61.9,57.0,1410,5.3,5.33,3.29
207,0.74,Good,F,SI2,62.6,65.0,2685,5.66,5.69,3.55
208,0.91,Good,F,VS1,63.5,56.0,4823,6.14,6.18,3.91
209,0.9,Ideal,E,SI1,60.1,56.0,4034,6.3,6.35,3.8
210,0.3,Ideal,I,SI2,62.4,54.0,367,4.32,4.34,2.7
211,0.4,Ideal,E,VVS2,62.1,55.0,1158,4.74,4.76,2.95
212,1.03,Premium,E,VS1,61.4,58.0,7677,6.52,6.58,4.02
213,0.32,Ideal,F,VVS2,61.2,57.0,1008,4.43,4.4,2.7
214,0.52,Premium,F,SI1,61.1,59.0,1370,5.21,5.17,3.17
215,0.7,Very Good,F,SI1,61.6,55.0,2230,5.66,5.7,3.5
216,1.34,Very Good,D,SI2,62.3,59.0,7230,6.99,7.03,4.37
217,0.53,Ideal,D,SI1,60.4,57.0,2021,5.28,5.31,3.2
218,0.9,Very Good,H,VS1,62.8,59.0,4685,6.07,6.15,3.84
219,2.18,Premium,G,SI2,61.9,60.0,17841,8.24,8.29,5.12
220,0.9,Premium,F,SI2,60.5,57.0,3704,6.23,6.2,3.76
221,2.08,Very Good,J,VS2,60.6,61.0,13732,8.24,8.34,5.02
222,0.33,Ideal,F,VS1,61.2,56.0,928,4.49,4.46,2.74
223,0.56,Very Good,H,SI1,61.3,60.0,1197,5.23,5.28,3.22
224,1.0,Premium,D,SI2,58.3,61.0,4626,6.59,6.54,3.83
225,0.72,Very Good,D,SI1,62.9,58.0,2285,5.7,5.72,3.59
226,0.31,Ideal,H,VS2,61.9,55.0,628,4.38,4.35,2.7
227,0.91,Very Good,H,VS2,63.5,57.0,4012,6.12,6.16,3.9
228,1.41,Good,H,VS2,63.8,60.0,9254,7.12,7.04,4.52
229,1.02,Good,F,VS1,62.6,54.3,8011,6.41,6.45,4.02
230,0.35,Premium,E,IF,59.0,61.0,1148,4.64,4.62,2.73
231,0.36,Ideal,D,VS1,61.7,55.0,1131,4.58,4.6,2.83
232,0.7,Very Good,G,SI1,61.9,56.0,2042,5.68,5.73,3.53
233,0.23,Very Good,E,VVS1,62.1,58.0,530,3.9,3.93,2.43
234,1.72,Good,F,SI1,64.3,60.0,13499,7.52,7.56,4.85
235,0.24,Ideal,G,VVS1,62.0,56.0,559,3.97,4.01,2.47
236,0.5,Ideal,G,SI2,60.7,56.0,1180,5.13,5.18,3.13
237,0.35,Ideal,D,VVS1,61.5,57.0,1167,4.52,4.55,2.79
238,0.9,Good,F,VS1,63.3,59.0,4508,6.03,6.07,3.83
239,0.99,Good,F,SI2,63.3,54.0,4052,6.36,6.43,4.05
240,1.02,Very Good,D,VS2,63.4,54.0,6909,6.38,6.33,4.03
241,1.54,Ideal,G,VS2,60.6,57.0,13761,7.55,7.49,4.56
242,1.73,Premium,H,SI1,62.4,58.0,11969,7.61,7.64,4.76
243,1.51,Ideal,G,VS1,61.1,57.0,14542,7.38,7.41,4.52
244,1.0,Good,D,SI1,64.2,60.0,5093,6.22,6.28,4.01
245,0.57,Very Good,F,VVS2,62.6,58.0,2290,5.28,5.3,3.31
246,1.54,Ideal,I,VS2,60.7,56.0,7848,7.51,7.46,4.54
247,0.32,Good,D,SI1,63.8,56.0,756,4.35,4.33,2.77
248,0.4,Ideal,G,SI2,60.6,56.0,651,4.82,4.79,2.91
249,0.3,Premium,D,SI1,62.2,58.0,709,4.31,4.28,2.67
250,0.49,Premium,G,VS2,61.0,59.0,1225,5.13,5.06,3.11
251,1.0,Ideal,G,VS2,58.9,60.0,6235,6.53,6.58,3.86
252,0.41,Very Good,J,VS2,63.4,56.0,784,4.73,4.7,2.99
253,0.4,Ideal,G,VS2,61.2,57.0,807,4.73,4.78,2.91
254,0.8,Good,H,VS2,63.4,60.0,2845,5.92,5.82,3.72
255,0.4,Ideal,D,VS2,62.8,56.0,918,4.66,4.7,2.94
256,0.71,Premium,G,VS2,60.4,61.0,2515,5.81,5.77,3.5
257,0.3,Very Good,I,VS1,60.4,58.0,473,4.34,4.4,2.64
258,0.52,Ideal,F,IF,61.7,57.0,2733,5.13,5.17,3.18
259,0.41,Premium,G,VS2,61.3,57.0,1061,4.8,4.76,2.93
260,1.01,Good,E,VS2,63.7,56.0,6335,6.29,6.27,4.0
261,2.01,Ideal,I,VS2,66.7,56.0,15729,7.75,7.65,5.14
262,0.3,Ideal,E,VS2,62.6,56.0,844,4.34,4.29,2.7
263,1.51,Premium,G,SI1,60.5,59.0,11230,7.49,7.41,4.51
264,1.02,Premium,F,SI1,62.5,56.0,4884,6.44,6.35,4.0
265,0.54,Ideal,F,VS2,60.1,56.0,1662,5.28,5.31,3.18
266,0.35,Premium,F,VS2,61.5,59.0,706,4.53,4.55,2.79
267,1.05,Very Good,F,VS2,62.0,56.0,6545,6.48,6.52,4.03
268,0.32,Ideal,I,VVS1,62.5,55.0,589,4.37,4.4,2.74
269,0.72,Ideal,F,SI2,61.9,57.0,2058,5.74,5.79,3.57
270,0.68,Good,F,SI1,61.2,61.0,1924,5.59,5.63,3.43
271,0.71,Ideal,F,SI2,59.3,57.0,2331,5.86,5.81,3.46
272,0.41,Premium,H,SI1,61.8,59.0,984,4.81,4.77,2.96
273,0.36,Premium,D,SI2,61.2,59.0,689,4.59,4.56,2.8
274,0.53,Ideal,J,VS2,62.6,53.0,1038,5.21,5.24,3.27
275,0.4,Very Good,G,VS1,61.5,57.0,871,4.73,4.77,2.92
276,1.54,Ideal,G,VVS1,60.8,57.0,16316,7.49,7.45,4.54
277,0.34,Ideal,E,VVS1,62.3,56.0,1014,4.45,4.48,2.78
278,1.7,Ideal,G,VVS1,61.0,56.0,18445,7.67,7.62,4.66
279,0.53,Ideal,I,VVS2,61.2,56.0,1341,5.21,5.28,3.21
280,0.28,Very Good,G,VVS1,60.7,56.0,586,4.27,4.29,2.6
281,0.33,Premium,F,SI2,62.3,58.0,434,4.4,4.43,2.75
282,0.27,Ideal,I,IF,60.5,57.0,587,4.2,4.22,2.55
283,0.34,Ideal,G,VS2,60.8,56.0,616,4.53,4.55,2.76
284,0.54,Very Good,F,SI1,63.0,57.0,1255,5.18,5.23,3.28
285,1.5,Very Good,E,VS1,59.0,62.0,15957,7.45,7.47,4.4
286,1.05,Very Good,I,VS2,62.4,59.0,4975,6.48,6.51,4.05
287,1.01,Premium,G,SI1,60.8,60.0,5090,6.47,6.39,3.91
288,0.36,Premium,E,SI2,58.5,59.0,475,4.67,4.63,2.72
289,1.5,Good,I,SI1,62.9,60.0,8161,7.12,7.16,4.49
290,0.29,Ideal,D,VS1,62.9,55.0,647,4.25,4.21,2.66
291,0.91,Very Good,E,SI2,62.9,56.0,3763,6.14,6.17,3.87
292,0.32,Ideal,G,VVS1,60.8,56.0,1080,4.44,4.37,2.68
293,0.24,Ideal,F,VS1,61.3,56.0,419,4.0,4.03,2.46
294,0.42,Ideal,G,SI2,60.9,56.0,971,4.87,4.89,2.97
295,0.33,Ideal,G,IF,61.6,53.0,1052,4.47,4.43,2.74
296,0.42,Ideal,E,VS1,60.9,57.0,1372,4.83,4.86,2.95
297,1.05,Very Good,J,SI2,63.2,56.0,2789,6.49,6.45,4.09
298,0.57,Ideal,G,VS2,61.0,55.0,1725,5.38,5.4,3.29
299,0.56,Ideal,G,VS1,61.0,56.0,2230,5.31,5.35,3.25
300,0.55,Ideal,G,VS2,61.1,57.0,1833,5.29,5.31,3.24
301,0.7,Premium,F,VS2,60.2,59.0,2657,5.78,5.74,3.47
302,0.73,Ideal,F,VVS1,61.9,56.0,5154,5.75,5.79,3.57
303,1.02,Premium,G,VS2,59.8,58.0,6169,6.58,6.54,3.92
304,1.33,Premium,E,VS1,60.5,58.0,12342,7.15,7.1,4.31
305,1.06,Premium,G,VS2,60.9,57.0,6582,6.65,6.61,4.04
306,1.14,Premium,F,SI2,62.8,58.0,4399,6.61,6.56,4.14
307,0.32,Ideal,E,VVS1,61.7,55.0,879,4.38,4.41,2.71
308,0.57,Premium,E,SI1,61.4,58.0,1728,5.34,5.28,3.26
309,1.53,Premium,G,SI1,62.3,58.0,11421,7.35,7.3,4.56
310,0.51,Premium,D,VS2,60.5,60.0,1882,5.19,5.16,3.13
311,0.54,Ideal,J,VVS1,62.2,54.0,1239,5.23,5.25,3.26
312,1.53,Ideal,G,SI2,61.7,57.0,7240,7.44,7.41,4.58
313,0.4,Ideal,G,VS1,62.8,56.0,1125,4.7,4.67,2.94
314,1.51,Good,D,I1,57.0,64.0,5979,7.48,7.53,4.28
315,0.7,Very Good,G,SI2,60.7,58.0,2141,5.74,5.76,3.49
316,1.03,Good,H,SI1,63.3,57.0,4843,6.39,6.41,4.05
317,1.01,Ideal,H,SI1,62.7,56.0,4851,6.41,6.44,4.03
318,0.6,Very Good,G,VS1,61.9,56.0,2094,5.41,5.45,3.36
319,0.31,Ideal,G,SI1,61.8,55.0,493,4.38,4.42,2.72
320,0.31,Good,H,VS2,63.2,58.0,489,4.31,4.33,2.73
321,0.31,Ideal,I,VVS1,62.1,56.0,571,4.35,4.38,2.71
322,0.57,Premium,E,SI1,59.4,58.0,1613,5.42,5.38,3.21
323,0.54,Ideal,H,SI1,62.0,54.0,1065,5.23,5.28,3.26
324,0.32,Ideal,G,VS1,61.3,55.0,645,4.42,4.46,2.72
325,1.21,Ideal,G,VS2,62.0,56.0,7666,6.77,6.87,4.23
326,0.57,Ideal,F,SI1,61.6,57.0,1571,5.37,5.34,3.3
327,0.42,Very Good,H,VVS2,62.4,55.0,921,4.78,4.81,2.99
328,0.74,Good,J,SI1,59.9,64.0,2058,5.82,5.86,3.5
329,0.32,Ideal,H,VS1,61.0,56.0,580,4.43,4.45,2.71
330,0.72,Ideal,F,VS1,61.8,56.0,3489,5.72,5.77,3.55
331,0.3,Ideal,D,VS1,62.2,56.0,835,4.31,4.27,2.67
332,1.0,Fair,H,SI1,65.5,57.0,3511,6.26,6.21,4.08
333,0.36,Ideal,F,SI1,61.5,57.0,770,4.59,4.55,2.81
334,1.2,Very Good,D,SI2,63.1,57.0,5373,6.68,6.75,4.24
335,0.29,Very Good,F,VVS1,60.5,57.0,731,4.31,4.34,2.61
336,0.7,Ideal,D,VS2,61.2,57.0,3788,5.69,5.75,3.5
337,0.69,Very Good,F,SI1,62.6,59.6,1951,5.59,5.66,3.52
338,0.4,Ideal,E,SI1,61.2,57.0,737,4.7,4.74,2.89
339,1.01,Ideal,F,VS1,62.0,57.0,7465,6.39,6.45,3.98
340,0.26,Ideal,G,VS1,62.5,53.0,508,4.1,4.13,2.57
341,1.2,Premium,G,VVS2,59.7,60.0,9475,7.0,6.91,4.15
342,1.58,Premium,G,VS2,62.6,59.0,13132,7.47,7.44,4.67
343,0.43,Ideal,F,VS2,61.1,57.0,1066,4.88,4.91,2.99
344,0.3,Good,H,SI1,63.8,55.0,554,4.26,4.2,2.7
345,0.41,Ideal,H,VS2,61.7,56.0,1163,4.77,4.79,2.95
346,1.02,Premium,G,VS2,62.7,58.0,5506,6.44,6.36,4.01
347,1.5,Very Good,E,SI1,63.2,59.0,10356,7.24,7.2,4.56
348,0.3,Ideal,G,IF,61.6,56.0,863,4.34,4.36,2.68
349,0.31,Premium,D,IF,60.2,59.0,1167,4.39,4.42,2.65
350,1.28,Premium,I,SI1,59.4,61.0,3942,7.11,7.04,4.2
351,1.25,Ideal,E,SI2,62.3,57.0,6670,6.83,6.88,4.27
352,0.55,Ideal,F,SI2,61.7,55.0,1183,5.26,5.28,3.25
353,1.2,Premium,G,VS1,60.2,60.0,8442,6.82,6.87,4.12
